user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
0,0,0,0,0,0,0,Cimeliidae
103539,3,4072,0,0,0,1,Coleophoridae
0,0,0,0,0,0,0,Copromorphidae
15474,811,811,7,1,0,15,Cosmopterigidae
8975,912,3821,1,2,0,3,Cossidae
508694,17399,67004,32,12,5,286,Crambidae
0,0,0,0,0,0,0,Crinopterygidae
13906,3580,1800,8,5,4,48,Cyclotornidae
870423,11185,57968,29,12,1,193,Dalceridae
0,0,0,0,0,0,0,Deoclonidae
0,0,0,0,0,0,0,Deuterogoniidae
0,0,0,0,0,0,0,Douglasiidae
242086,18048,23687,15,8,1,121,Drepanidae
0,0,0,0,0,0,0,Dudgeoneidae
35,95,28,0,1,0,0,Elachistidae
0,0,0,0,0,0,0,Endromidae
36987,1313,4940,1,0,0,1,Epicopeiidae
13906,3580,1800,7,4,4,45,Epipyropidae
0,0,0,0,0,0,0,Eriocottidae
44359,195,492,5,0,0,38,Eriocraniidae
0,0,0,0,0,0,0,Eupterotidae
134288,5853,11013,1,2,0,22,Gelechiidae
1273522,103489,324224,73,55,13,605,Geometridae
0,0,0,0,0,0,0,Glyphidoceridae
0,0,0,0,0,0,0,Glyphipterigidae
224986,1185,1884,37,9,5,224,Gracillariidae
0,0,0,0,0,0,0,Hedylidae
14828,2754,3054,4,0,0,39,Heliozelidae
94128,14647,19262,7,1,1,57,Hepialidae
206660,7669,73133,12,11,0,95,Hesperiidae
0,0,0,0,0,0,0,Heterobathmiidae
0,0,0,0,0,0,0,Heterogynidae
0,0,0,0,0,0,0,Himantopteridae
0,0,0,0,0,0,0,Hyblaeidae
48199,428,624,0,1,0,2,Immidae
33168,2463,4748,3,4,0,17,Incurvariidae
0,0,0,0,0,0,0,Lacturidae
75020,4428,21513,34,7,8,241,Lasiocampidae
139630,9,361,0,0,0,0,Lecithoceridae
0,0,0,0,0,0,0,Lemoniidae
1120147,207788,635174,1103,204,175,3549,Limacodidae
1156109,31410,57417,172,30,7,768,Lycaenidae
69691,2553,14826,0,1,0,16,Lymantriidae
310,2246,512,3,1,0,12,Lyonetiidae
71952,1752,74136,9,7,1,200,Megalopygidae
522133,29412,42664,6,32,1,219,Micropterigidae
